0,0.093407,0,0,0,0.082418,0,0,0.093407,0.043956,0,0,0.11538,0.093407,0.071429,0.065934,38,57,13,12,17,15,25,63,27,29,1,4,8,0.52365,0,AiinI
0.058824,0.12255,0,0,0.044118,0.063725,0,0,0.083333,0.004902,0,0,0.13235,0.068627,0.058824,0.088235,65,53,12,18,37,22,18,71,43,28,1,5,9,0.5307,0,AiinI
0.021531,0.062201,0,0,0.038278,0.062201,0,0,0.086124,0,0,0,0.055024,0.062201,0.045455,0.055024,84,78,19,23,35,42,36,91,58,23,1,5,8,0.52366,0,AiinI
0,0.046154,0.076923,0,0.026923,0.088462,0.015385,0,0.11923,0,0,0,0.057692,0.069231,0.076923,0.053846,53,53,44,14,32,34,31,67,37,19,1,5,7,0.5173,0,AiinI
0.080769,0.073077,0,0,0.05,0.057692,0,0,0.13077,0,0,0,0.069231,0.073077,0.076923,0.05,86,53,20,13,40,28,34,70,49,18,1,4,9,0.52617,0,AiinI
0.11336,0.068826,0,0,0.052632,0.05668,0,0,0.08502,0,0,0,0.064777,0.08502,0.052632,0.05668,78,52,13,14,45,27,21,64,56,16,1,5,9,0.53118,0,AiinI
0.031142,0.062284,0,0,0.044983,0.072664,0,0,0.083045,0.010381,0,0,0.11765,0.072664,0.079585,0.065744,80,63,23,19,27,34,27,97,49,37,1,5,9,0.51792,0,AiinI
0,0.11189,0,0,0.020979,0.14685,0.020979,0,0.13986,0,0,0,0.076923,0.1049,0.097902,0.083916,34,52,17,12,16,27,20,52,33,14,1,5,8,0.53155,0,AiinI
0.032143,0.05,0.032143,0,0.092857,0.053571,0.0035714,0,0.11071,0,0,0,0.05,0.060714,0.067857,0.060714,80,46,29,17,32,42,31,67,41,15,1,5,8,0.51257,0,AiinI
0,0.045752,0.081699,0.0098039,0.039216,0.078431,0.019608,0,0.088235,0,0,0,0.04902,0.075163,0.078431,0.068627,54,61,55,24,42,42,27,83,45,24,1,5,9,0.51989,0,AiinI
